categoria,nome
Todos os produtos,LUVA ROSCAVEL 1''
Todos os produtos,"MANGUEIRA (G) 1 X 2,5 CRISTAL"
Todos os produtos,"NIPLE FG 1"" - IPC P/IRRIG"
Todos os produtos,"ADAPTADOR SIMPLES FF 3"" - APEFUND/FAP P/IRRIG"
Todos os produtos,"TE FG 90° 1"" HBL - IMP P/IRRIG"
Todos os produtos,"ADAPTADOR SIMPLES C/RED 2.1/2"" X 2"" - APEFUND/FAP"
Todos os produtos,TUBO EDUTOR 1 X 4M ALTRI - ALTRI
Todos os produtos,"MANGUEIRA FLEX EM PVC VERDE PARA JARDIM DE 3/4, COM 100 METROS - TRAMONTINA"
Todos os produtos,"APARADOR DE GRAMA ELETRICO AP1000T, TENSAO DE 220 V E DIAMETRO DE CORTE DE 280 MM - TRAMONTINA"
Todos os produtos,"ENXADA NORTE METALICA 222/25, CABO DE MADEIRA DE 145 CM - TRAMONTINA"
Todos os produtos,HTH MAXFLOC 1000ML
Todos os produtos,HTH LIMPA BORDAS 1000ML
Todos os produtos,ADAPTADOR EM PLASTICO COM ROSCA DE 3/4 E BUCHA DE REDUCAO DE 1/2 PARA JARDIM - TRAMONTINA
Todos os produtos,"ESGUICHO EM PLASTICO COM JATO REGULAVEL PARA ENGATE RAPIDO, P/ JARDIM, EM POTE - TRAMONTINA"
Todos os produtos,"ESGUICHO EM PLASTICO COM ENGATE ROSQUEADO E JATO REGULAVEL, PARA JARDIM - TRAMONTINA"
Todos os produtos,"LIGACAO REPARADORA EM PLASTICO PARA MANGUEIRA DE 1/2"" - TRAMONTINA"
Todos os produtos,"ADAPTADOR EM PLASTICO COM ENGATE ROSQUEADO, PARA MANGUEIRA 1/2 , PARA JARDIM - TRAMONTINA"
Todos os produtos,"HIDROPISTOLA EM PLASTICO COM 6 TIPOS DE JATO PARA ENGATE RAPIDO, PARA JARDIM - TRAMONTINA"
